Tahun,Perusahaan,Lokasi sekarang,Bidang,Keterangan,Rujukan
1746,Pos Indonesia,"Bandung, Jawa Barat",Pos,,[1][2]
1856,Hotel Salak The Heritage,"Bogor, Jawa Barat",Hotel,Hotel tertua di Indonesia yang masih beroperasi.,[3]
1859,Jiwasraya,Jakarta,Asuransi,Perusahaan jasa keuangan tertua di Indonesia yang masih beroperasi.,[4]
1863,Hotel Sriwijaya,Jakarta,Hotel,,[3]
1870-an – 1880-an,Hotel Savoy Homann,"Bandung, Jawa Barat",Hotel,"Tidak diketahui persis tahun berdirinya, namun arsip hotel menunjukkan hotel ini berdiri sebelum tahun 1888 oleh A. Homann, yang tinggal di sekitar Bandung sejak tahun 1870. Saat ini bagian dari Hotel Bidakara.",[5]
1878,Bakoel Koffie,Jakarta,Kedai kopi,Mulanya adalah satu usaha hingga dekade 1990-an.,[6]
1880-an,Toko Buku Peneleh,"Surabaya, Jawa Timur",Ritel,,[8]
1881,Roti Ganep,"Surakarta, Jawa Tengah",Makanan,,[9]
1882,Kecap Benteng Teng Giok Seng,"Tangerang, Banten",Kecap,,[10]
1886,Gino Feruci Hotel Kebonjati,"Bandung, Jawa Barat",Hotel,Bagian dari Kagum Hotels.,[11]
1889,Cap Orang Jual Sate,"Probolinggo, Jawa Timur",Kecap,Bagian dari PT Aneka Food Tatarasa Industri sejak 1991.,[10]
1890,Biofarma,"Bandung, Jawa Barat",Farmasi,,[12]
1896,Bank Rakyat Indonesia,Jakarta,Bank,Bank tertua di Indonesia yang masih beroperasi.,[13]
1897,Grand Hotel Preanger,"Bandung, Jawa Barat",Hotel,,[14]
1898,Roti Go,"Banyumas, Jawa Tengah",Makanan,,[15][16]
1898,Laba-Laba,"Jakarta Selatan, DKI Jakarta",Reparasi,Awalnya bernama De Spin,[17]
1901,Pegadaian,Jakarta,Gadai,Anak perusahaan Bank Rakyat Indonesia sejak 2021.,[18]
1905,Toko Kitab Salim Nabhan,"Surabaya, Jawa Timur",Ritel,,[19]
